Modelo,MAE,MSE,RMSE,Time
catboost,0.7837875767826958,0.9133776923115109,0.8344436599579282,78.1627550125122
xgboost,0.7857600134373705,0.925590202640015,0.8568896189657126,10.627114057540894
rf,0.7927750606345004,0.951485484871655,0.9079997739081616,69.39854550361633
et,0.7950803324071763,0.9508427092775966,0.9017458429100105,35.48903465270996
lightgbm,0.8112395266347665,0.9433961373426427,0.8902596933449655,3.016932964324951
dt,0.8623613202086151,1.1204047106834918,1.2596492226275777,1.1833631992340088
gbr,0.906887016422058,1.0225223053691666,1.045905976943926,22.0975661277771
huber,0.949046480920636,1.0609918522748907,1.1259766842775873,3.2812814712524414
br,0.9501184943168198,1.060019457499096,1.1238990765952206,0.20046520233154297
lr,0.950127751458633,1.0600215175509655,1.123903511529307,0.17393183708190918
ard,0.9502161656984484,1.0600746015383202,1.1240152515363608,0.7165493965148926
omp,1.0137874652326047,1.1135977287358494,1.2402823060320498,0.1056833267211914
par,1.1030101216204753,1.3104295604851266,1.3421701459256223,0.18350911140441895
knn,1.1222791809902368,1.273120087556569,1.6209002586990895,3.6881401538848877
ada,1.1276568527722748,1.2337637629702347,1.512722827330953,11.638217449188232
gnb,1.1291230603487725,1.3330564805040677,1.7773788631851501,0.4528326988220215
KRR,1.492970194445467,1.7011141006868633,2.89419410440657,148.16786932945251
elastic,2.3683890980323783,2.6337308038642653,6.936726291647449,0.2182166576385498
lasso,2.4317749939278754,2.7042300696298214,7.313248678017108,0.12871217727661133
dummy,2.445761229489958,2.719782776084855,7.397389214975102,0.023936033248901367
lassolars,2.445761229489958,2.719782776084855,7.397389214975102,0.16057801246643066
