Modelo,MAE,MSE,RMSE,TIME
Light Gradient Boosting Machine,0.5884563809012269,0.7337776031221989,0.8566081969735049,0.0029926300048828125
Extreme Gradient Boosting,0.6315303844409984,0.8704734551608383,0.932991669395198,0.0029914379119873047
Extra Trees Regressor,0.698943833943834,0.9663695207570207,0.9830409557882218,0.0013880729675292969
Decision Tree Regressor,0.7123015873015873,1.4613095238095237,1.2088463607131898,0.0010001659393310547
CatBoost Regressor,0.8352888199068362,1.2560331943820329,1.1207288674706442,0.0029976367950439453
Random Forest Regressor,0.8352888199068362,1.2560331943820329,1.1207288674706442,0.004989147186279297
